tweet_ID,label,stance_towards_conspiracy,topic,text
1.01E+18,0,0,0,RT @CBCNS: East Coast salt marshes to be restored to battle effects of climate change https://t.co/bqUQbooRFp https://t.co/odewP9v24F
1.27E+18,1,3,1,"#BillGates is also part of the problem!

He's part of the #ROTHSCHILD freaks and #ROCKEFELLER freaks!  They ARE the problem!  With luck, they are all ABOUT to become the past problem!

#BillGatesIsEvil #BillGates #BillGatesVirus #COVIDー19 

https://t.co/qUGERg04zy"
9.27E+17,0,0,2,"What should bother people about Julie Payette's comments is their tone more than their content, says @David_Moscrop https://t.co/viHY1QUbrK"
1.11E+18,1,3,0,"@EARTH3R It's typical that you are mentioning climate change! 

Unless you discuss strangelets 

and what they're doing to the core of the planet 

who's doing it

and how the magnets are 500,000 times stronger than the Earth's magnet

 will discuss weather modification
Not climate change https://t.co/7xxotYvUvf"
1.47E+18,0,0,3,https://t.co/3vfYL40huU #Ghislaine #GhislaineMaxwellTrial #JeffreyEpstein #EpsteinMaxwell #LolitaExpress #PedophileIsland #Pimp #SexAbuse #Rape #MadameGhislaine
1.47E+18,1,3,3,RT @Daniell32703718: The ARTIST &amp; PHOTOGRAPHER connections including Rachel CHANDLER Guinness who has over 14 connections. Thanks to help f…
9.07E+17,0,0,1,"@RealAlexJones @9AM But it's geoengineering, not human-caused climate change, at least in what passes for your mind"
1.26E+18,0,0,1,If we could identify the severity of #covid19 when it started in #wuhan we would able to save thousand lives by now. I hope we will not do the same with #covid1948
1.26E+18,0,0,1,"RT @BrendanCarrFCC: You let 7 million people leave Wuhan (a city of 11 million) in the first three weeks of January, including infected peo…"
1.27E+18,0,0,1,#Lockdown5point0 #Lockdown5Guidelines #LockdownExtended #lockdown #coronavirus #lockdown2020 #Covid_19 https://t.co/XyFwJSLYbT
1.26E+18,1,3,1,"En USA con este fin de semana festivo provoca la eliminación de inhibiciones a medidas y las muertes por coronavirus cerca de 100,000.
https://t.co/yDRxuhwV5G"
1.47E+18,1,2,3,"Signal #5
Keep your eyes in #EPS
It may pump any time
#epsusdt #epsteincoverup #cryptocrash #cryptocurrency #cryptocurrencies #BitcoinCrash #Bitcoin #altcoins #IOTX #CryptoNews"
1.00E+18,1,3,2,"The rain that is falling cannot be good ...

#IDoNotConsent #WeDoNotConsent #opstopchemtrails #SkyBastard #Geoengineering #climatechange #SRM  #BigMoney #HAARP #NEXRAD #EMF #5G #WiFi #RF #LookUp #SilentWarfare #MAGA https://t.co/GCV9fJCldK"
9.13E+17,1,2,0,A 'geoengineering cocktail' is the latest last-ditch proposal to reverse climate change - CNET: Humans have… https://t.co/8EtbCni6K2 #NEWS
1.26E+18,0,0,1,My mother also died from virus related illness;about 3 weeks ago. I’m in California she was in Flatbush. I didn’t want to die because of a trip to a funeral. https://t.co/i8yrFbe9sr
1.26E+18,1,3,1,"@travellerofdawn @SusanStylianou It's a hoax

https://t.co/rrhkL7Y675

https://t.co/or6uMENBRW

https://t.co/gGIokLfClS

https://t.co/EhObHuyOZ5"
1.02E+18,1,1,1,"RT @wim_dewit: #climatechange ""Future global warming may eventually be twice as warm as projected by climate models and sea levels may rise…"
1.03E+18,1,3,0,#IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #Cloudseeding #EverGreenAir  #BigMoney #NEXRAD #LookUp #SilentWarfare #MAGA #potus #breakingnews https://t.co/XvUnS6Nj3W
1.25E+18,1,2,3,"#UN member states demand 'equitable' access to future Covid-19 #vaccines

#Covid_19 #Healing https://t.co/oRfPF4cU4w"
9.02E+17,0,0,1,"Our hearts go out to the people of south Texas, victims of climate change &amp; the sold-out politicians causing it."
9.05E+17,1,3,2,"@Baddiel Why has this flat earth guf become so popular again?
We have a candidate running to become an MP who believes in it
Also deny climate change"
1.47E+18,1,3,3,#LockThemAllUp #GhislaineMaxwell #GhislaineMaxwellTrial #EpsteinCoverup #EvilJustice #EvilFBI #EvilCongress https://t.co/CviQeY91in https://t.co/KJ77dawCcR
9.02E+17,1,3,2,"RT OlumideIDOWU ""RT UNDPClimate: This project in Myanmar is helping farmers &amp; communities adapt to #climatechange … https://t.co/nOTljHXlxc"""
1.02E+18,1,1,1,#IDoNotConsent #WeDoNotConsent #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #EverGreenAir  #BigMoney #NEXRAD #LookUp #SilentWarfare #MAGA #potus #breaking https://t.co/0uzqBj60rN
9.69E+17,0,0,0,"Geoengineering, Climate Collapse, Dead Leaves, And Defoliants - https://t.co/Q8nTfptkj5 @arborday @AmericanForests @greenpeaceusa @EPA @EPAresearch @EPAwater #geoengineering #climatechange https://t.co/EcQPIA5FTU"
9.07E+17,1,2,2,WATCH: Video shows winds from Hurricane #Irma ripping a roof off of a building in Miami: https://t.co/Wf0VUeegW9 https://t.co/m6vUS4AnHa
9.24E+17,1,2,0,RT @TheEconomist: The number of weather-related disasters has quadrupled since 1970. Can “geoengineering” tame climate change? https://t.co…
9.06E+17,1,3,2,"It's fucking nuts that the Democrats, in all their legislative hardball, aren't pushing for anything on Climate Change amid apocalypse week."
9.38E+17,1,3,1,#geoengineering is a dangerous distraction from the root causes of #climatechange. We need #climatejustice now! #bigbadfix https://t.co/iZhMjvdpDz @WoMin2015
1.26E+18,0,0,2,"More than 40% of Republicans think Bill Gates will use a COVID-19 vaccine to implant a location-t... https://t.co/R75Rv2Aua1 via @YahooNews why would  they need  that between  the  internet,  camera s all over the  place.  Your phone locator. etc why bother with a  chip"
1.47E+18,0,0,3,#GhislaineMaxwell #GhislaneMaxwell #GhislaineMaxwellTrial #epsteincoverup #EpsteinFiles https://t.co/IgjzRneoVS
1.26E+18,1,3,1,#ZDF #COVID19 #MSM #Bias #Lanz #Corona #WHO #NWO #RKI #Hoax #CoronavirusFraud #NoNewNormal #NoToBillGates #mRNA #Vaccine #EndLockdownNow https://t.co/E3Y7Sb6Yvi
1.47E+18,1,3,3,RT @Haileydailydose: Why aren’t more people talking about this case?! #GhislaineMaxwell #EpsteinFiles #epsteincoverup #EpsteinFlightLogs #G…
1.05E+18,0,0,1,"@jondillabaugh @Veganella_ @nmlinguaphile @Drgarthdavis @gtojoel455 @respectfullivin @agargmd @danpincus @Simsala1511 @PaulinaAraujo19 @SamTorres5 @drjkahn @FructoseNo @profitnothealth @KoushikReddyMD @AllanRSavory @VinnieTortorich @GrassBased @BelindaFettke Just because you have people that are challenging it, it doesn't make it wrong. In the same way that flat earthers challenge astronauts and climate change deniers challenge climate change. When it comes to obesity vegans are usually (not always) the only group within the BMI https://t.co/oqxJjpZ91G"
1.47E+18,1,2,3,Jeffrey Epstein #Moneylaundering  #rapingchildren  #why we can't see this #Fakenews 😢  #PedophileIsland
